"RANKING","STATUS","ID_PROV","ID_KAB","ID_KEC","NAMA_PROV","NAMA_KAB","NAMA_KEC","TOTAL_DESA","YEAR_NOW","IDM_NOW","STATUS_NOW","IKS_NOW","IKE_NOW","IKL_NOW","JML_DESA_NOW","YEAR_PREV","IDM_PREV","STATUS_PREV","IKS_PREV","IKE_PREV","IKL_PREV","JML_DESA_PREV"
"2147","BERKEMBANG","18","1801","180110","LAMPUNG","KABUPATEN LAMPUNG SELATAN","PALAS","21","2021","0.6933","BERKEMBANG","0.6111","0.6222","0.8465","21","2020","0.6824","BERKEMBANG","0.5952","0.6318","0.8201","21"
"2147","BERKEMBANG","12","1206","120601","SUMATERA UTARA","KABUPATEN KARO","KABANJAHE","8","2021","0.6933","BERKEMBANG","0.6646","0.6417","0.7736","8","2020","0.6888","BERKEMBANG","0.6542","0.6417","0.7707","8"
"2154","BERKEMBANG","73","7322","732215","SULAWESI SELATAN","KABUPATEN LUWU UTARA","SABBANG SELATAN","10","2021","0.6932","BERKEMBANG","0.5583","0.7534","0.7680","10","2020","0.6537","BERKEMBANG","0.5117","0.6867","0.7628","10"
"2154","BERKEMBANG","35","3513","351319","JAWA TIMUR","KABUPATEN PROBOLINGGO","DRINGU","14","2021","0.6932","BERKEMBANG","0.6000","0.7238","0.7559","14","2020","0.6825","BERKEMBANG","0.6024","0.6905","0.7547","14"
"2156","BERKEMBANG","33","3301","330108","JAWA TENGAH","KABUPATEN CILACAP","JERUKLEGI","13","2021","0.6931","BERKEMBANG","0.6410","0.6359","0.8022","13","2020","0.6802","BERKEMBANG","0.6359","0.6256","0.7789","13"
"2156","BERKEMBANG","33","3317","331714","JAWA TENGAH","KABUPATEN REMBANG","LASEM","20","2021","0.6931","BERKEMBANG","0.6433","0.6700","0.7660","20","2020","0.6904","BERKEMBANG","0.6333","0.6700","0.7680","20"
"2156","BERKEMBANG","72","7201","720118","SULAWESI TENGAH","KABUPATEN BANGGAI","BALANTAK SELATAN","11","2021","0.6931","BERKEMBANG","0.5697","0.7091","0.8005","11","2020","0.6851","BERKEMBANG","0.5621","0.6970","0.7964","11"
"2156","BERKEMBANG","16","1606","160608","SUMATERA SELATAN","KABUPATEN MUSI BANYUASIN","KELUANG","13","2021","0.6931","BERKEMBANG","0.6013","0.6667","0.8114","13","2020","0.6589","BERKEMBANG","0.5872","0.6154","0.7741","13"
"2156","BERKEMBANG","64","6401","640107","KALIMANTAN TIMUR","KABUPATEN PASER","MUARA KOMAM","12","2021","0.6931","BERKEMBANG","0.5028","0.8222","0.7543","12","2020","0.6227","BERKEMBANG","0.4917","0.6222","0.7543","12"
"2156","BERKEMBANG","21","2103","210316","KEPULAUAN RIAU","KABUPATEN NATUNA","BUNGURAN TENGAH","3","2021","0.6931","BERKEMBANG","0.6055","0.6222","0.8514","3","2020","0.6756","BERKEMBANG","0.6000","0.6000","0.8267","3"
"2162","BERKEMBANG","17","1703","170316","BENGKULU","KABUPATEN BENGKULU UTARA","AIR NAPAL","12","2021","0.6930","BERKEMBANG","0.5611","0.7611","0.7567","12","2020","0.6808","BERKEMBANG","0.5570","0.7444","0.7409","12"
"2163","BERKEMBANG","12","1207","120724","SUMATERA UTARA","KABUPATEN DELI SERDANG","HAMPARAN PERAK","20","2021","0.6929","BERKEMBANG","0.6425","0.6200","0.8163","20","2020","0.6896","BERKEMBANG","0.6392","0.6200","0.8097","20"
"2163","BERKEMBANG","71","7105","710512","SULAWESI UTARA","KABUPATEN MINAHASA SELATAN","TUMPAAN","10","2021","0.6929","BERKEMBANG","0.6467","0.6600","0.7720","10","2020","0.6621","BERKEMBANG","0.5950","0.6400","0.7514","10"
"2165","BERKEMBANG","12","1210","121014","SUMATERA UTARA","KABUPATEN LABUHANBATU","PANGKATAN","7","2021","0.6928","BERKEMBANG","0.6405","0.6191","0.8188","7","2020","0.6893","BERKEMBANG","0.6405","0.6095","0.8180","7"
"2165","BERKEMBANG","76","7602","760208","SULAWESI BARAT","KABUPATEN MAMUJU","SAMPAGA","7","2021","0.6928","BERKEMBANG","0.6643","0.6191","0.7951","7","2020","0.6832","BERKEMBANG","0.6500","0.6191","0.7804","7"
"2165","BERKEMBANG","61","6110","611001","KALIMANTAN BARAT","KABUPATEN MELAWI","BELIMBING","17","2021","0.6928","BERKEMBANG","0.5480","0.7255","0.8047","17","2020","0.6473","BERKEMBANG","0.5127","0.6549","0.7741","17"
"2168","BERKEMBANG","51","5108","510808","BALI","KABUPATEN BULELENG","KUBUTAMBAHAN","13","2021","0.6927","BERKEMBANG","0.6397","0.6564","0.7820","13","2020","0.6884","BERKEMBANG","0.6654","0.6103","0.7894","13"
"2168","BERKEMBANG","52","5205","520507","NUSA TENGGARA BARAT","KABUPATEN DOMPU","MANGGALEWA","12","2021","0.6927","BERKEMBANG","0.6125","0.6667","0.7990","12","2020","0.7002","BERKEMBANG","0.6361","0.6556","0.8091","12"
